No.,Name,Position X,Position Y,Position Z
0,NAP_R,9.665315,8.290468,-3.799197
1,NAP_L,-10.473508,9.107544,-3.677124
2,EAP_R,83.854944,111.384542,4.667586
3,EAP_L,-86.510682,108.549601,4.603972
4,endocanthion_L,-33.525629,13.750003,0
5,pupilcenter_L,-34.289399,13.081926,4.446763
6,earback_L,-81.746877,121.966918,-27.52085
7,otobasion_superius_L,-87.772971,104.001002,-0.446797
8,endocanthion_R,33.41691,13.750058,-0.000015
9,pupilcenter_R,31.971635,12.883955,3.957509
10,earback_R,80.335348,127.202293,-29.904692
11,otobasion_superius_R,84.906051,105.672552,0.580704
12,Exocanthion_L,-47.585896,20.533352,4.398191
13,Exocanthion_R,47.595776,20.656513,3.946557
